Metodo,Ruta,Controlador,MetodoControlador,Modulo,Servicio,Tabla,OperacionTabla,Relacion
GET,/api/alerta,"App\Modulos\Alerta\Controllers\AlertaController",ListarAlertas,ALERTA,AlertaService,ALERTA,RW,HEURISTICO_MODULO
GET,/api/alerta,"App\Modulos\Alerta\Controllers\AlertaController",ListarAlertas,ALERTA,AlertaService,EXISTENCIACELDA,R,HEURISTICO_MODULO
GET,/api/alerta,"App\Modulos\Alerta\Controllers\AlertaController",ListarAlertas,ALERTA,AlertaService,REGLAALERTA,RW,HEURISTICO_MODULO
GET,/api/alerta,"App\Modulos\Alerta\Controllers\AlertaController",ListarAlertas,ALERTA,AlertaService,TELEMETRIA,R,HEURISTICO_MODULO
GET,/api/alerta/{tnAlerta},"App\Modulos\Alerta\Controllers\AlertaController",ObtenerAlerta,ALERTA,AlertaService,ALERTA,RW,HEURISTICO_MODULO
GET,/api/alerta/{tnAlerta},"App\Modulos\Alerta\Controllers\AlertaController",ObtenerAlerta,ALERTA,AlertaService,EXISTENCIACELDA,R,HEURISTICO_MODULO
GET,/api/alerta/{tnAlerta},"App\Modulos\Alerta\Controllers\AlertaController",ObtenerAlerta,ALERTA,AlertaService,REGLAALERTA,RW,HEURISTICO_MODULO
GET,/api/alerta/{tnAlerta},"App\Modulos\Alerta\Controllers\AlertaController",ObtenerAlerta,ALERTA,AlertaService,TELEMETRIA,R,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/atender,"App\Modulos\Alerta\Controllers\AlertaController",AtenderAlerta,ALERTA,AlertaService,ALERTA,RW,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/atender,"App\Modulos\Alerta\Controllers\AlertaController",AtenderAlerta,ALERTA,AlertaService,EXISTENCIACELDA,R,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/atender,"App\Modulos\Alerta\Controllers\AlertaController",AtenderAlerta,ALERTA,AlertaService,REGLAALERTA,RW,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/atender,"App\Modulos\Alerta\Controllers\AlertaController",AtenderAlerta,ALERTA,AlertaService,TELEMETRIA,R,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/cerrar,"App\Modulos\Alerta\Controllers\AlertaController",CerrarAlerta,ALERTA,AlertaService,ALERTA,RW,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/cerrar,"App\Modulos\Alerta\Controllers\AlertaController",CerrarAlerta,ALERTA,AlertaService,EXISTENCIACELDA,R,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/cerrar,"App\Modulos\Alerta\Controllers\AlertaController",CerrarAlerta,ALERTA,AlertaService,REGLAALERTA,RW,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/cerrar,"App\Modulos\Alerta\Controllers\AlertaController",CerrarAlerta,ALERTA,AlertaService,TELEMETRIA,R,HEURISTICO_MODULO
POST,/api/alerta/{tnAlerta}/escalar,"App\Modulos\Alerta\Controllers\AlertaController",EscalarAlerta,ALERTA,AlertaService,ALERTA,RW,HEURISTICO_MODULO
