Tabla,FilasBD,ReferenciasCodigo,Lecturas,Escrituras,Operacion,Modulos,Archivos,ClasificacionInicial
ALCANCEANUNCIO,0,0,0,0,R,,,LEGACY_NO_USADA
ALERTA,120,12,8,4,RW,ALERTA|TABLERO,app/Modulos/Alerta/Services/AlertaService.php|app/Modulos/Tablero/Services/TableroService.php,CANDIDATA_UNIFICAR
ANUNCIO,0,10,3,7,RW,ANUNCIO,app/Modulos/Anuncio/Services/AnuncioService.php,CANDIDATA_UNIFICAR
ANUNCIOMAQUINA,0,11,4,7,RW,ANUNCIO,app/Modulos/Anuncio/Services/AnuncioService.php,CANDIDATA_UNIFICAR
ANUNCIOPRODUCTO,0,11,4,7,RW,ANUNCIO,app/Modulos/Anuncio/Services/AnuncioService.php,CANDIDATA_UNIFICAR
APROBACION,0,6,3,3,RW,APROBACION|SOPORTE,app/Modulos/Aprobacion/Services/AprobacionService.php|app/Soporte/ValidacionAprobacionService.php,ACTIVA
ASIGNACIONMAQUINA,0,0,0,0,R,,,LEGACY_NO_USADA
BITACORA,10,2,1,1,RW,SOPORTE,app/Soporte/AuditoriaService.php,ACTIVA
CACHE,0,0,0,0,R,,,LEGACY_NO_USADA
CACHE_LOCKS,0,0,0,0,R,,,LEGACY_NO_USADA
CELDA,234,27,14,13,RW,CELDA|CONSOLE|DEPOSITO|MAQUINA|MAQUINACELDAS|REPOSICION|RESERVA|STOCK|TABLERO|VENTA,app/Console/Commands/CargarProductosCeldasCommand.php|app/Modulos/Celda/Services/CeldaService.php|app/Modulos/Deposito/Services/DepositoService.php|app/Modulos/Maquina/Services/MaquinaService.php|app/Modulos/MaquinaCeldas/Services/MaquinaCeldasService.php|app/Modulos/Reposicion/Services/ReposicionService.php|app/Modulos/Reserva/Services/ReservaService.php|app/Modulos/Stock/Services/StockService.php|app/Modulos/Tablero/Services/TableroService.php|app/Modulos/Venta/Services/VentaService.php,CRITICA
CELDACONFLICTO,0,2,1,1,RW,MAQUINACELDAS,app/Modulos/MaquinaCeldas/Services/MaquinaCeldasService.php,ACTIVA
CELDAOCUPACION,0,3,0,3,W,MAQUINACELDAS,app/Modulos/MaquinaCeldas/Services/MaquinaCeldasService.php,ACTIVA
CELDAOCUPACIONDETALLE,0,5,3,2,RW,MAQUINACELDAS,app/Modulos/MaquinaCeldas/Services/MaquinaCeldasService.php,ACTIVA
COMANDODISPOSITIVO,0,0,0,0,R,,,LEGACY_NO_USADA
DEPOSITO,1,2,2,0,R,DEPOSITO,app/Modulos/Deposito/Services/DepositoService.php,ACTIVA
DISPOSITIVO,0,0,0,0,R,,,LEGACY_NO_USADA
EMPRESA,3,11,6,5,RW,CONSOLE|EMPRESA,app/Console/Commands/CargarProductosCeldasCommand.php|app/Modulos/Empresa/Services/EmpresaService.php,ACTIVA
ESTADO,48,2,2,0,R,APP|ESTADO,app/Modulos/Estado/Services/EstadoService.php|app/Support/EstadoCatalogo.php,ACTIVA
EVENTOMAQUINA,0,0,0,0,R,,,LEGACY_NO_USADA
EXISTENCIACELDA,225,29,9,20,RW,ALERTA|ANALITICA|CELDA|CONSOLE|DEPOSITO|EXISTENCIACELDA|MERMA|REPOSICION|RESERVA|TABLERO|VENTA,app/Console/Commands/CargarProductosCeldasCommand.php|app/Modulos/Alerta/Services/AlertaService.php|app/Modulos/Analitica/Services/AnaliticaService.php|app/Modulos/Celda/Services/CeldaService.php|app/Modulos/Deposito/Services/DepositoService.php|app/Modulos/ExistenciaCelda/Services/ExistenciaCeldaService.php|app/Modulos/Merma/Services/MermaService.php|app/Modulos/Reposicion/Services/ReposicionService.php|app/Modulos/Reserva/Services/ReservaService.php|app/Modulos/Tablero/Services/TableroService.php|app/Modulos/Venta/Services/VentaService.php,CRITICA
FAILED_JOBS,0,0,0,0,R,,,LEGACY_NO_USADA
IDEMPOTENCIA,60,5,0,5,W,APP|CONSOLE,app/Console/Commands/LimpiarIdempotenciaCommand.php|app/Support/IdempotenciaService.php,CRITICA
IOTEVENTO,0,8,3,5,RW,INTEGRACIONIOT,app/Modulos/IntegracionIot/Services/IntegracionIotService.php,ACTIVA
IOTEVENTOINTENTO,0,4,1,3,RW,INTEGRACIONIOT,app/Modulos/IntegracionIot/Services/IntegracionIotService.php,ACTIVA
JOB_BATCHES,0,0,0,0,R,,,LEGACY_NO_USADA
JOBS,0,0,0,0,R,,,LEGACY_NO_USADA
LOTE,96,15,7,8,RW,CONSOLE|LOTE|MAQUINACELDAS|REPOSICION,app/Console/Commands/CargarProductosCeldasCommand.php|app/Modulos/Lote/Services/LoteService.php|app/Modulos/MaquinaCeldas/Services/MaquinaCeldasService.php|app/Modulos/Reposicion/Services/ReposicionService.php,CRITICA
MAQUINA,4,24,14,10,RW,AUTENTICACION|CONSOLE|DEPOSITO|MAQUINA|MAQUINACELDAS|MAQUINAOPERATIVO|REPOSICION|RESERVA|TABLERO|VENTA,app/Console/Commands/CargarProductosCeldasCommand.php|app/Modulos/Autenticacion/Services/PermisoService.php|app/Modulos/Deposito/Services/DepositoService.php|app/Modulos/Maquina/Services/MaquinaService.php|app/Modulos/MaquinaCeldas/Services/MaquinaCeldasService.php|app/Modulos/MaquinaOperativo/Services/MaquinaOperativoService.php|app/Modulos/Reposicion/Services/ReposicionService.php|app/Modulos/Reserva/Services/ReservaService.php|app/Modulos/Tablero/Services/TableroService.php|app/Modulos/Venta/Services/VentaService.php,CRITICA
MAQUINADISPOSITIVO,0,0,0,0,R,,,LEGACY_NO_USADA
MAQUINAESTADOOPERATIVO,4,6,1,5,RW,MAQUINAOPERATIVO,app/Modulos/MaquinaOperativo/Services/MaquinaOperativoService.php,CANDIDATA_UNIFICAR
MAQUINAESTADOOPERATIVOHISTORIAL,0,3,1,2,RW,MAQUINAOPERATIVO,app/Modulos/MaquinaOperativo/Services/MaquinaOperativoService.php,CANDIDATA_UNIFICAR
MAQUINAIMAGEN,9,12,6,6,RW,MAQUINA,app/Modulos/Maquina/Services/MaquinaService.php,ACTIVA
MERMA,0,15,6,9,RW,ANALITICA|MERMA|TABLERO,app/Modulos/Analitica/Services/AnaliticaService.php|app/Modulos/Merma/Services/MermaService.php|app/Modulos/Tablero/Services/TableroService.php,ACTIVA
MERMADETALLE,0,8,4,4,RW,MERMA,app/Modulos/Merma/Services/MermaService.php,ACTIVA
MERMAEVIDENCIA,0,3,2,1,RW,MERMA,app/Modulos/Merma/Services/MermaService.php,ACTIVA
